Course Code,Course Title,HEI,CATEGORY (ISCED Description),R1 Points
TU905,Economics and Finance,Technological University Dublin,Social and behavioural sciences,460
TU906,Human Resource Management,Technological University Dublin,Business and administration,386
TU907,Logistics and Supply Chain Management,Technological University Dublin,Business and administration,300
TU910,Accounting,Technological University Dublin,Business and administration,420
TU912,Business Analytics,Technological University Dublin,Information and Communication Technologies (ICTs),331
TU914,Business Computing,Technological University Dublin,Information and Communication Technologies (ICTs),322
TU917,Law (LLB ) with a Language,Technological University Dublin,Law,356
TU918,Law (LLB),Technological University Dublin,Law,463
TU919,Advertising and Marketing Communications,Technological University Dublin,Business and administration,219
TU920,Digital Marketing,Technological University Dublin,Business and administration,270
TU921,Digital Marketing Technologies,Technological University Dublin,Business and administration,230
TU922,Marketing,Technological University Dublin,Business and administration,412
TU924,E-Commerce in Retailing,Technological University Dublin,Business and administration,307
TU925,Retail and Services Management,Technological University Dublin,Business and administration,307
TU932,Business (options),Technological University Dublin,Business and administration,211
TU933,Accounting and Finance (campus options),Technological University Dublin,Business and administration,251
TU935,Sports Management and Coaching,Technological University Dublin,Personal services,300
