Course Code,Course Title,HEI Code,HEI,R1 Points,Year,ISCED
DC291,Arts (Joint Honours) - Media Studies,DC,Dublin City University,350,2021,Arts
DC292,Arts (Joint Honours) - Law,DC,Dublin City University,400,2021,Arts
DC293,Arts (Joint Honours) - International Languages,DC,Dublin City University,379,2021,Arts
DC294,Climate and Environmental Sustainability,DC,Dublin City University,475,2021,Environment
DC295,Arts (Joint Honours) - Politics,DC,Dublin City University,349,2021,Arts
DL822,Arts Management,DL,"Dun Laoghaire Institute of Art, Design and Technology",254,2021,Business and administration
DL823,Business Management,DL,"Dun Laoghaire Institute of Art, Design and Technology",220,2021,Business and administration
DL825,Applied Psychology,DL,"Dun Laoghaire Institute of Art, Design and Technology",418,2021,Social and behavioural sciences
DL826,Graphic Design,DL,"Dun Laoghaire Institute of Art, Design and Technology",591,2021,Arts
DL827,Art,DL,"Dun Laoghaire Institute of Art, Design and Technology",574,2021,Arts
DL832,Animation,DL,"Dun Laoghaire Institute of Art, Design and Technology",989,2021,Arts
DL833,Photography and Visual Media,DL,"Dun Laoghaire Institute of Art, Design and Technology",671,2021,Arts
DL836,Creative Computing,DL,"Dun Laoghaire Institute of Art, Design and Technology",235,2021,Information and Communication Technologies (ICTs)
DL837,New Media Studies,DL,"Dun Laoghaire Institute of Art, Design and Technology",298,2021,Humanities (except languages)
DL838,Creative Music Production,DL,"Dun Laoghaire Institute of Art, Design and Technology",713,2021,Arts
DL839,Interaction and User Experience Design,DL,"Dun Laoghaire Institute of Art, Design and Technology",757,2021,Information and Communication Technologies (ICTs)
DL840,Digital Marketing,DL,"Dun Laoghaire Institute of Art, Design and Technology",210,2021,Business and administration
DL841,English and Equality Studies,DL,"Dun Laoghaire Institute of Art, Design and Technology",277,2021,Arts
DL843,Film,DL,"Dun Laoghaire Institute of Art, Design and Technology",987,2021,Arts
DL844,Television,DL,"Dun Laoghaire Institute of Art, Design and Technology",566,2021,Arts
DL845,Design for Film (degree options),DL,"Dun Laoghaire Institute of Art, Design and Technology",628,2021,Arts
GC200,Business,GC,Griffith College,269,2021,Business and administration
GC201,Accounting and Finance,GC,Griffith College,260,2021,Business and administration
GC230,Computing Science,GC,Griffith College,300,2021,Information and Communication Technologies (ICTs)
GC300,Business,GC,Griffith College,264,2021,Business and administration
GC302,Business - HRM,GC,Griffith College,377,2021,Business and administration
GC307,Business (Marketing),GC,Griffith College,289,2021,Business and administration
GC400,Business,GC,Griffith College,250,2021,Business and administration
GC401,Accounting and Finance,GC,Griffith College,242,2021,Business and administration
GC403,Law,GC,Griffith College,245,2021,Law
GC407,Business (Marketing),GC,Griffith College,264,2021,Business and administration
GC430,Computing Science,GC,Griffith College,251,2021,Information and Communication Technologies (ICTs)
GC450,Communications and Media Production,GC,Griffith College,225,2021,Journalism and information
GC462,Design Communication (portfolio),GC,Griffith College,300,2021,Arts
GC489,Interior Architecture (portfolio),GC,Griffith College,288,2021,Arts
GC494,Fashion Design (portfolio),GC,Griffith College,351,2021,Arts
BY001,Business,BY,IBAT College Dublin,210,2021,Business and administration
AD101,"First Year Art and Design (Common Entry,portfolio)",AD,National College of Art and Design,554,2021,Arts
AD102,Graphic Design and Moving Image Design (portfolio),AD,National College of Art and Design,538,2021,Arts
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),AD,National College of Art and Design,505,2021,Arts
AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",AD,National College of Art and Design,591,2021,Education
AD204,Fine Art (portfolio),AD,National College of Art and Design,514,2021,Arts
AD211,Fashion Design (portfolio),AD,National College of Art and Design,760,2021,Arts
AD212,Product Design (portfolio),AD,National College of Art and Design,413,2021,Arts
AD215,Visual Culture,AD,National College of Art and Design,337,2021,Arts
AD217,Illustration (portfolio),AD,National College of Art and Design,738,2021,Arts
AD222,Interaction Design (portfolio),AD,National College of Art and Design,444,2021,Information and Communication Technologies (ICTs)
NC003,Computing (Degree Award options),NC,National College of Ireland (NCI),271,2021,Information and Communication Technologies (ICTs)
NC005,Human Resource Management,NC,National College of Ireland (NCI),301,2021,Business and administration
NC009,Business,NC,National College of Ireland (NCI),300,2021,Business and administration
NC010,Psychology,NC,National College of Ireland (NCI),420,2021,Social and behavioural sciences
NC020,Marketing Practice,NC,National College of Ireland (NCI),270,2021,Business and administration
NC022,Accounting and Finance,NC,National College of Ireland (NCI),330,2021,Business and administration
NC023,Technology Management (with specialisations),NC,National College of Ireland (NCI),266,2021,Information and Communication Technologies (ICTs)
NC030,Early Childhood Education and Care,NC,National College of Ireland (NCI),251,2021,Education
RC001,Medicine - Undergraduate Entry (HPAT required),RC,RCSI University of Medicine & Health Sciences,741,2021,Health
RC004,Physiotherapy,RC,RCSI University of Medicine & Health Sciences,589,2021,Health
RC005,Pharmacy,RC,RCSI University of Medicine & Health Sciences,613,2021,Health
NM801,Montessori Education,NM,St Nicholas Montessori College Ireland,262,2021,Education
NM802,Psychology,NM,St Nicholas Montessori College Ireland,228,2021,Social and behavioural sciences
TU801,Sustainable Energy Engineering,TU,Technological University Dublin,235,2021,Environment
TU802,Electrical Services and Energy Management,TU,Technological University Dublin,309,2021,Engineering and engineering trades
TU804,Engineering (Common Entry with Award options),TU,Technological University Dublin,270,2021,Engineering and engineering trades
TU805,Engineering (General Entry),TU,Technological University Dublin,466,2021,Engineering and engineering trades
TU807,Computer Engineering in Mobile Systems,TU,Technological University Dublin,274,2021,Engineering and engineering trades
TU810,Mechatronic Engineering,TU,Technological University Dublin,271,2021,Engineering and engineering trades
TU811,Product Design,TU,Technological University Dublin,440,2021,Arts
TU812,"Design,Technology and Innovation",TU,Technological University Dublin,278,2021,Manufacturing and processing
TU814,Sustainable Transport Management,TU,Technological University Dublin,253,2021,Transport services
